hpf,lpf,harmonics,window_s,ema_alpha,accuracy,L_accuracy,R_accuracy,n_trials,lat_first_p50_ms,lat_first_p95_ms,lat_sus_p50_ms,lat_sus_p95_ms,lat_sus_n
12.0,60.0,1,1.0,0.0,0.5,0.0,1.0,40,195.9998607635498,3101.8000602722145,202.00002193450928,3535.7499837875357,28
3.0,90.0,3,1.0,0.9,0.625,1.0,0.25,40,151.99995040893555,4277.249991893768,151.99995040893555,3947.79987335205,34
3.0,60.0,1,0.5,0.3,0.625,1.0,0.25,40,309.999942779541,1649.4500994682305,395.9999084472656,3511.3000154495257,39
25.0,80.0,1,1.0,0.3,0.525,0.2,0.85,40,182.0000410079956,1660.2000117301936,428.50005626678467,4326.600039005279,34
8.0,80.0,5,0.5,0.5,0.5,1.0,0.0,40,207.99994468688965,3789.400029182435,250.0,5579.9999833106995,36
25.0,45.0,1,0.5,0.9,0.525,0.15,0.9,40,83.99999141693115,5500.799989700314,84.0001106262207,6073.000073432922,31
8.0,90.0,10,1.0,0.3,0.55,1.0,0.1,40,180.00006675720215,2117.00005531311,195.9998607635498,3192.5999641418443,35
3.0,90.0,3,2.5,0.0,0.7,1.0,0.4,40,483.99996757507324,3218.5999989509583,1599.9999046325684,3372.5998163223253,35
12.0,90.0,3,0.5,0.3,0.775,0.6,0.95,40,144.00005340576172,775.4000782966611,540.5000448226929,1680.8000922203041,40
16.0,60.0,1,4.0,0.5,0.5,0.0,1.0,40,445.99997997283936,781.7501306533813,445.99997997283936,781.7501306533813,20
12.0,60.0,3,1.5,0.0,0.9,0.8,1.0,40,305.9999942779541,1451.5501379966722,740.0000095367432,2394.400024414057,37
8.0,45.0,7,2.5,0.5,0.675,1.0,0.35,40,514.0000581741333,3893.249988555908,388.0000114440918,2888.2000446319576,29
25.0,60.0,1,2.5,0.0,0.575,0.15,1.0,40,454.0001153945923,3235.6000185012817,1218.000054359436,3228.7498712539673,26
3.0,90.0,3,1.5,0.5,0.7,1.0,0.4,40,256.0000419616699,3252.100157737733,287.99986839294434,3296.2001323699933,37
3.0,30.0,1,4.0,0.3,0.75,0.95,0.55,40,652.9998779296875,4795.400047302245,671.9999313354492,3620.999956130981,33
12.0,45.0,5,2.5,0.7,0.85,0.9,0.8,40,485.9999418258667,3194.60014104843,644.5000171661377,3861.7500305175768,38
3.0,45.0,7,0.5,0.0,0.525,1.0,0.05,40,177.99997329711914,1181.3501477241507,462.0000123977661,3337.799870967864,38
8.0,45.0,1,1.5,0.5,0.675,1.0,0.35,40,261.99984550476074,2934.199845790862,513.9999389648438,3084.999978542328,36
3.0,60.0,3,1.5,0.5,0.675,1.0,0.35,40,287.99986839294434,2459.2999458312993,861.9998693466187,2599.949955940245,38
8.0,45.0,3,2.5,0.9,0.55,1.0,0.1,40,384.0000629425049,6014.600038528441,371.99997901916504,5413.699960708618,27
16.0,80.0,5,4.0,0.5,0.725,0.9,0.55,40,730.4999828338623,4785.95005273819,1115.9999370574951,4330.200052261352,33
16.0,60.0,1,1.0,0.5,0.5,0.0,1.0,40,88.00005912780762,184.60001945495608,88.00005912780762,184.60001945495608,20
3.0,80.0,1,1.0,0.9,0.6,1.0,0.2,40,151.99995040893555,4663.849973678588,151.99995040893555,4058.6000680923453,30
12.0,45.0,10,2.5,0.0,0.9,0.9,0.9,40,552.0000457763672,2223.4500527381883,1152.0001888275146,3788.099956512451,39
8.0,45.0,7,0.5,0.3,0.5,1.0,0.0,40,166.00000858306885,2462.950134277342,184.00001525878906,3420.8000183105455,37
3.0,60.0,10,2.5,0.3,0.75,0.9,0.6,40,420.0000762939453,3196.4001417160016,1485.9999418258667,3817.7998423576346,34
12.0,30.0,1,2.5,0.5,0.575,0.15,1.0,40,368.0000305175781,4287.19996213913,351.99999809265137,3848.999881744381,25
8.0,30.0,1,4.0,0.9,0.5,1.0,0.0,40,636.0001564025879,6069.6001291275015,622.5000619888306,5449.049997329712,24
12.0,80.0,5,0.5,0.3,0.725,0.75,0.7,40,184.00001525878906,672.7999329566954,389.9998664855957,1048.8001942634578,40
25.0,45.0,7,4.0,0.3,0.45,0.9,0.0,40,1541.0001277923584,5736.4000797271665,802.5000095367432,4533.2000374794,22
16.0,30.0,5,1.0,0.3,0.8,1.0,0.6,40,174.50010776519775,1159.0001821517942,452.0000219345093,2549.999976158137,40
12.0,80.0,10,0.5,0.5,0.75,1.0,0.5,40,164.0000343322754,674.8499393463134,373.9999532699585,1640.3499484062188,40
3.0,80.0,5,1.0,0.0,0.825,1.0,0.65,40,187.99996376037598,1686.8000984191901,567.9998397827148,3178.600025177,37
3.0,90.0,10,1.0,0.9,0.575,0.95,0.2,40,174.00002479553223,4709.750008583066,180.00006675720215,4881.500005722046,31
3.0,30.0,3,4.0,0.0,0.7,1.0,0.4,40,694.0000057220459,4792.050051689148,716.0000801086426,3901.0000228881836,31
3.0,90.0,7,2.5,0.7,0.65,1.0,0.3,40,452.0001411437988,4274.599909782408,452.0001411437988,4069.000005722046,31
12.0,45.0,3,1.0,0.5,0.85,0.8,0.9,40,176.5000820159912,1170.2001810073843,588.499903678894,1783.9501380920408,40
25.0,60.0,1,2.5,0.3,0.6,0.2,1.0,40,391.9999599456787,2735.4000329971295,600.0000238418579,4895.750045776367,26
3.0,80.0,3,0.5,0.0,0.65,1.0,0.3,40,112.00010776519775,1185.9501481056202,378.00002098083496,4086.550056934354,38
12.0,45.0,7,4.0,0.5,0.8,0.8,0.8,40,696.4999437332153,5703.050124645232,720.9999561309814,3222.000026702879,33
16.0,90.0,5,4.0,0.0,0.7,0.95,0.45,40,730.4999828338623,3880.7999134063716,1735.9999418258667,4367.850053310394,32
16.0,90.0,3,1.0,0.7,0.825,0.9,0.75,40,161.99994087219238,1281.8000197410565,370.00012397766113,2121.650040149688,40
12.0,45.0,7,2.5,0.9,0.775,0.8,0.75,40,1273.0000019073486,4476.999855041499,1422.0000505447388,3936.2000584602347,34
8.0,80.0,10,1.0,0.5,0.55,1.0,0.1,40,191.9999122619629,3495.1499223709066,187.99996376037598,3306.2999486923195,35
3.0,90.0,3,1.0,0.5,0.675,1.0,0.35,40,191.9999122619629,3418.600046634674,809.0000152587891,2782.1001529693613,39
25.0,60.0,1,1.5,0.9,0.525,0.05,1.0,40,218.50013732910156,2566.4000272750827,229.00009155273438,1547.700047492981,23
8.0,90.0,1,1.0,0.9,0.55,1.0,0.1,40,167.9999828338623,4209.000110626221,161.99994087219238,4219.000101089477,30
25.0,45.0,10,1.5,0.3,0.525,1.0,0.05,40,292.00005531311035,4873.799991607666,287.99986839294434,4870.599937438964,33
3.0,80.0,10,0.5,0.3,0.6,1.0,0.2,40,169.99995708465576,1866.2000179290708,399.99985694885254,4031.3999414443974,39
16.0,60.0,3,1.5,0.7,0.825,0.95,0.7,40,255.99992275238037,3365.399980545043,285.9998941421509,3398.1999874114986,38
3.0,30.0,3,1.5,0.3,0.675,1.0,0.35,40,267.99988746643066,4385.100030899051,740.0000095367432,4562.599968910216,35
